year,city,city_avg_temp,global_avg_temp,Cairo 10-Year AVG,global 10_Year AVG
1808,Cairo,17.11,7.63,,
1809,Cairo,19.87,7.08,,
1810,Cairo,19.93,6.92,,
1811,Cairo,20,6.86,,
1812,Cairo,19.93,7.05,,
1813,Cairo,20.51,7.74,,
1814,Cairo,20.43,7.59,,
1815,Cairo,20.3,7.24,,
1816,Cairo,20.51,6.94,,
1817,Cairo,21.88,6.98,20.047,7.203
1818,Cairo,11.6,7.83,19.496,7.223
1819,Cairo,20.31,7.37,19.54,7.252
1820,Cairo,20.58,7.62,19.605,7.322
1821,Cairo,20.63,8.09,19.668,7.445
1822,Cairo,20.72,8.19,19.747,7.559
1823,Cairo,20.71,7.72,19.767,7.557
1824,Cairo,21.44,8.55,19.868,7.653
1825,Cairo,21,8.39,19.938,7.768
1826,Cairo,20.94,8.36,19.981,7.91
1827,Cairo,21.63,8.81,19.956,8.093
1828,Cairo,20.99,8.17,20.895,8.127
1829,Cairo,20.91,7.94,20.955,8.184
1830,Cairo,21.25,8.52,21.022,8.274
1831,Cairo,20.52,7.64,21.011,8.229
1832,Cairo,20.2,7.45,20.959,8.155
1833,Cairo,20.81,8.01,20.969,8.184
1834,Cairo,20.69,8.15,20.894,8.144
1835,Cairo,20.17,7.39,20.811,8.044
1836,Cairo,20.59,7.7,20.776,7.978
1837,Cairo,20.27,7.38,20.64,7.835
1838,Cairo,20.21,7.51,20.562,7.769
1839,Cairo,20.43,7.63,20.514,7.738
1840,Cairo,20.56,7.8,20.445,7.666
1841,Cairo,20.91,7.69,20.484,7.671
1842,Cairo,20.92,8.02,20.556,7.728
1843,Cairo,20.83,8.17,20.558,7.744
1844,Cairo,20.66,7.65,20.555,7.694
1845,Cairo,20.9,7.85,20.628,7.74
1846,Cairo,21.57,8.55,20.726,7.825
1847,Cairo,21.1,8.09,20.809,7.896
1848,Cairo,20.89,7.98,20.877,7.943
1849,Cairo,20.9,7.98,20.924,7.978
1850,Cairo,20.39,7.9,20.907,7.988
1851,Cairo,21.11,8.18,20.927,8.037
1852,Cairo,21.04,8.1,20.939,8.045
1853,Cairo,21.53,8.04,21.009,8.032
1854,Cairo,20.74,8.21,21.017,8.088
1855,Cairo,21.04,8.11,21.031,8.114
